,,,Split 1,,,,Split 2,,,,Split 3,,,
ID,SMILES,Expr,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set
35,CCCCCCSOP(=O)(c1ccccc1)OCC,3.32,41.48652,3.1994,0.1206,Tr,32.81912,3.3623,-0.0423,Ca,37.20349,3.0504,0.2696,ST
36,CCOP(=O)(C1CCCCC1)SCCSCC,2.18,39.58851,2.6957,-0.5157,Te,30.47558,2.7138,-0.5338,Te,35.98919,2.6807,-0.5007,Te
37,CCCSCCSP(=O)(C1CCCCC1)OCC,2.45,37.96209,2.264,0.186,Va,28.90283,2.2786,0.1714,Va,33.80076,2.0145,0.4355,Va
38,CCCCSCCSP(=O)(C1CCCCC1)OCC,2.6,38.49287,2.4049,0.1951,Te,29.43943,2.4271,0.1729,Te,34.32973,2.1755,0.4245,Te
39,CCCCCSCCSP(=O)(C1CCCCC1)OCC,2.46,39.02365,2.5458,-0.0858,Tr,29.97603,2.5755,-0.1155,ST,34.85871,2.3366,0.1234,Ca
40,CCCCCCSCCSP(=O)(C1CCCCC1)OCC,3.18,39.55443,2.6866,0.4934,Va,30.51262,2.724,0.456,Va,35.38769,2.4976,0.6824,Va
41,CCCCCCCSCCSP(=O)(C1CCCCC1)OCC,2.92,40.08521,2.8275,0.0925,Tr,31.04922,2.8725,0.0475,ST,35.91667,2.6587,0.2613,Ca
42,CCCCCCCCSCCSP(=O)(C1CCCCC1)OCC,2.98,40.61598,2.9684,0.0116,Te,31.58581,3.021,-0.041,Te,36.44565,2.8197,0.1603,Te
43,CCCCCCCCCSCCSP(=O)(C1CCCCC1)OCC,3.18,41.14676,3.1092,0.0708,Tr,32.12241,3.1695,0.0105,ST,36.97463,2.9807,0.1993,Ca
44,CCOP(=O)(C1CCCCC1)SCC[S+](c1ccccc1)C,5,48.2514,4.9948,0.0052,Tr,39.21554,5.1322,-0.1322,Ca,43.40918,4.9396,0.0604,ST
45,CCOP(=O)(C1CCCCC1)SCC[S+](c1ccccc1)C,4.85,48.2514,4.9948,-0.1448,Te,39.21554,5.1322,-0.2822,Te,43.40918,4.9396,-0.0896,Te
46,CCCC[S+](CCSP(=O)(C1CCCCC1)OCC)C,5.04,48.41237,5.0375,0.0025,Va,38.63602,4.9719,0.0681,Va,43.46205,4.9557,0.0843,Va
47,CCOP(=O)(C1CCCCC1)SCC[S+](C1CCCCC1)C,5.52,43.28407,3.6765,1.8435,Va,34.80262,3.9111,1.6089,Va,39.00041,3.5974,1.9226,Va
48,CCCCCC[S+](CCSP(=O)(C1CCCCC1)OCC)C,5.97,49.47392,5.3192,0.6508,Te,39.70921,5.2688,0.7012,Te,44.52001,5.2778,0.6922,Te
49,CCCCCCC[S+](CCSP(=O)(C1CCCCC1)OCC)C,6,50.0047,5.4601,0.5399,Te,40.2458,5.4173,0.5827,Te,45.04899,5.4388,0.5612,Te
50,CCCCCCCC[S+](CCSP(=O)(C1CCCCC1)OCC)C,6.08,50.53548,5.6009,0.4791,Tr,40.7824,5.5658,0.5142,Ca,45.57797,5.5999,0.4801,ST
51,CCCCCCCCC[S+](CCSP(=O)(C1CCCCC1)OCC)C,5.45,51.06626,5.7418,-0.2918,Te,41.31899,5.7143,-0.2643,Te,46.10695,5.7609,-0.3109,Te
52,CCOP(=O)(Cc1ccccc1)SCCSCC,4.18,46.91138,4.6391,-0.4591,Te,37.58254,4.6804,-0.5004,Te,42.71057,4.7269,-0.5469,Te
53,CCCSCCSP(=O)(Cc1ccccc1)OCC,4.41,45.28496,4.2075,0.2025,Te,36.0098,4.2452,0.1648,Te,40.52214,4.0607,0.3493,Te
54,CCCCSCCSP(=O)(Cc1ccccc1)OCC,4.46,45.81574,4.3483,0.1117,Te,36.5464,4.3936,0.0664,Te,41.05112,4.2217,0.2383,Te
55,CCCCCSCCSP(=O)(Cc1ccccc1)OCC,4.11,46.34652,4.4892,-0.3792,Te,37.08299,4.5421,-0.4321,Te,41.58009,4.3828,-0.2728,Te
56,CCCCCCSCCSP(=O)(Cc1ccccc1)OCC,4.52,46.8773,4.6301,-0.1101,Tr,37.61959,4.6906,-0.1706,ST,42.10907,4.5438,-0.0238,Ca
57,CCCCCCCSCCSP(=O)(Cc1ccccc1)OCC,5.32,47.40807,4.7709,0.5491,Te,38.15618,4.8391,0.4809,Te,42.63805,4.7049,0.6151,Te
58,CCCCCCCCSCCSP(=O)(Cc1ccccc1)OCC,5.34,47.93885,4.9118,0.4282,Tr,38.69278,4.9876,0.3524,ST,43.16703,4.8659,0.4741,Ca
59,CCCCCCCCCSCCSP(=O)(Cc1ccccc1)OCC,5.38,48.46963,5.0527,0.3273,Tr,39.22938,5.1361,0.2439,ST,43.69601,5.0269,0.3531,Ca
60,CCOP(=O)(Cc1ccccc1)SCC[S+](CC)C,7,56.83087,7.2717,-0.2717,Tr,46.77913,7.2252,-0.2252,ST,51.84289,7.5071,-0.5071,Ca
61,CCC[S+](CCSP(=O)(Cc1ccccc1)OCC)C,6.91,55.20445,6.8401,0.0699,Tr,45.20639,6.79,0.12,ST,49.65445,6.8409,0.0691,Ca
62,CCCC[S+](CCSP(=O)(Cc1ccccc1)OCC)C,7.08,55.73523,6.9809,0.0991,Tr,45.74299,6.9385,0.1415,Ca,50.18343,7.0019,0.0781,ST
63,CCCCC[S+](CCSP(=O)(Cc1ccccc1)OCC)C,7.11,56.26601,7.1218,-0.0118,Te,46.27958,7.0869,0.0231,Te,50.71241,7.1629,-0.0529,Te
64,CCCCCC[S+](CCSP(=O)(Cc1ccccc1)OCC)C,6.97,56.79679,7.2627,-0.2927,Va,46.81618,7.2354,-0.2654,Va,51.24139,7.324,-0.354,Va
65,CCCCCCC[S+](CCSP(=O)(Cc1ccccc1)OCC)C,7.15,57.32757,7.4035,-0.2535,Te,47.35277,7.3839,-0.2339,Te,51.77037,7.485,-0.335,Te
66,CCCCCCCC[S+](CCSP(=O)(Cc1ccccc1)OCC)C,7.2,57.85834,7.5444,-0.3444,Tr,47.88937,7.5324,-0.3324,ST,52.29935,7.6461,-0.4461,Ca
67,CCCCCCCCC[S+](CCSP(=O)(Cc1ccccc1)OCC)C,7.45,58.38912,7.6853,-0.2353,Va,48.42596,7.6809,-0.2309,Va,52.82833,7.8071,-0.3571,Va
68,CCCCOP(=O)(OCCCC)SC,3.88,41.34889,3.1629,0.7171,Tr,32.34417,3.2308,0.6492,Ca,37.16353,3.0382,0.8418,ST
69,CCCCOP(=O)(SCC)OCCCC,4.08,44.81811,4.0836,-0.0036,Tr,36.23455,4.3074,-0.2274,ST,40.59721,4.0836,-0.0036,Ca
70,CCCSP(=O)(OCCCC)OCCCC,3.93,42.59822,3.4944,0.4356,Te,33.22221,3.4738,0.4562,Te,38.24789,3.3684,0.5616,Te
71,CCCCOP(=O)(SCCCC)OCCCC,4.08,45.87966,4.3653,-0.2853,Va,37.30774,4.6043,-0.5243,Va,41.65517,4.4056,-0.3256,Va
72,CCCCCSP(=O)(OCCCC)OCCCC,4.32,43.65977,3.7762,0.5438,Tr,34.29541,3.7708,0.5492,ST,39.30585,3.6904,0.6296,Ca
73,CCCCCCSP(=O)(OCCCC)OCCCC,4.34,44.19055,3.917,0.423,Tr,34.832,3.9193,0.4207,Ca,39.83483,3.8515,0.4885,ST
74,CCCCOP(=O)(SC(CC)C)OCCCC,4.38,43.814,3.8171,0.5629,Tr,34.49998,3.8274,0.5526,Ca,39.4663,3.7393,0.6407,ST
75,CCCCOP(=O)(SC(CC)CC)OCCCC,4.97,45.04088,4.1427,0.8273,Tr,35.9484,4.2282,0.7418,ST,40.76077,4.1334,0.8366,Ca
76,CCCCCCOP(=O)(OCCCCCC)SC,3.69,43.472,3.7263,-0.0363,Va,34.49056,3.8248,-0.1348,Va,39.27944,3.6824,0.0076,Va
77,CCCCCCOP(=O)(SCC)OCCCCCC,3.52,46.94122,4.647,-1.127,Te,38.38093,4.9013,-1.3813,Te,42.71312,4.7277,-1.2077,Te
78,CCCSP(=O)(OCCCCCC)OCCCCCC,4.11,44.72133,4.0579,0.0521,Tr,35.3686,4.0677,0.0423,Ca,40.3638,4.0125,0.0975,ST
79,CCCCSP(=O)(OCCCCCC)OCCCCCC,4.32,45.25211,4.1988,0.1212,Tr,35.90519,4.2162,0.1038,ST,40.89278,4.1735,0.1465,Ca
80,CCCCCSP(=O)(OCCCCCC)OCCCCCC,4.15,45.78289,4.3396,-0.1896,Va,36.44179,4.3647,-0.2147,Va,41.42176,4.3346,-0.1846,Va
81,CCCCCCOP(=O)(SCCCCCC)OCCCCCC,3.91,49.06433,5.2105,-1.3005,Tr,40.52731,5.4952,-1.5852,ST,44.82904,5.3719,-1.4619,Ca
82,CCCCCCOP(=O)(SC(CC)C)OCCCCCC,3.72,45.93712,4.3806,-0.6606,Tr,36.64637,4.4213,-0.7013,Ca,41.58222,4.3834,-0.6634,ST
83,CCCCCCOP(=O)(SC(CC)CC)OCCCCCC,4.18,47.16399,4.7062,-0.5262,Tr,38.09478,4.8221,-0.6421,ST,42.87669,4.7775,-0.5975,Ca
